cik,company_name,taxonomy,concept,unit,value,start_date,end_date,accn,fy,fp,form,filed_date,frame
320193,Apple Inc.,dei,EntityPublicFloat,USD,208565000000.0,,2010-03-27,0001193125-10-238044,2010,FY,10-K,2010-10-27,CY2010Q1I
320193,Apple Inc.,dei,EntityPublicFloat,USD,322921000000.0,,2011-03-25,0001193125-11-282113,2011,FY,10-K,2011-10-26,CY2011Q1I
320193,Apple Inc.,dei,EntityPublicFloat,USD,560356000000.0,,2012-03-30,0001193125-12-444068,2012,FY,10-K,2012-10-31,CY2012Q1I
320193,Apple Inc.,dei,EntityPublicFloat,USD,416005000000.0,,2013-03-29,0001193125-13-416534,2013,FY,10-K,2013-10-30,CY2013Q1I
320193,Apple Inc.,dei,EntityPublicFloat,USD,462522000000.0,,2014-03-28,0001193125-14-383437,2014,FY,10-K,2014-10-27,CY2014Q1I
320193,Apple Inc.,dei,EntityPublicFloat,USD,709923000000.0,,2015-03-27,0001193125-15-356351,2015,FY,10-K,2015-10-28,CY2015Q1I
320193,Apple Inc.,dei,EntityPublicFloat,USD,578807000000.0,,2016-03-25,0001628280-16-020309,2016,FY,10-K,2016-10-26,CY2016Q1I
320193,Apple Inc.,dei,EntityPublicFloat,USD,747509000000.0,,2017-03-31,0000320193-17-000070,2017,FY,10-K,2017-11-03,CY2017Q1I
320193,Apple Inc.,dei,EntityPublicFloat,USD,828880000000.0,,2018-03-30,0000320193-18-000145,2018,FY,10-K,2018-11-05,CY2018Q1I
320193,Apple Inc.,dei,EntityPublicFloat,USD,874698000000.0,,2019-03-29,0000320193-19-000119,2019,FY,10-K,2019-10-31,CY2019Q1I
320193,Apple Inc.,dei,EntityPublicFloat,USD,1070633000000.0,,2020-03-27,0000320193-20-000096,2020,FY,10-K,2020-10-30,CY2020Q1I
320193,Apple Inc.,dei,EntityPublicFloat,USD,2021360000000.0,,2021-03-26,0000320193-21-000105,2021,FY,10-K,2021-10-29,CY2021Q1I
320193,Apple Inc.,dei,EntityPublicFloat,USD,2830067000000.0,,2022-03-25,0000320193-22-000108,2022,FY,10-K,2022-10-28,CY2022Q1I
320193,Apple Inc.,dei,EntityPublicFloat,USD,2591165000000.0,,2023-03-31,0000320193-23-000106,2023,FY,10-K,2023-11-03,CY2023Q1I
320193,Apple Inc.,dei,EntityPublicFloat,USD,2628553000000.0,,2024-03-29,0000320193-24-000123,2024,FY,10-K,2024-11-01,CY2024Q1I
320193,Apple Inc.,us-gaap,AccountsPayable,USD,5520000000.0,,2008-09-27,0001193125-09-153165,2009,Q3,10-Q,2009-07-22,CY2008Q3I
320193,Apple Inc.,us-gaap,AccountsPayable,USD,4854000000.0,,2009-06-27,0001193125-09-153165,2009,Q3,10-Q,2009-07-22,CY2009Q2I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,5520000000.0,,2008-09-27,0001193125-09-214859,2009,FY,10-K,2009-10-27,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,5520000000.0,,2008-09-27,0001193125-10-012091,2009,FY,10-K/A,2010-01-25,CY2008Q3I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,5601000000.0,,2009-09-26,0001193125-09-214859,2009,FY,10-K,2009-10-27,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,5601000000.0,,2009-09-26,0001193125-10-012085,2010,Q1,10-Q,2010-01-25,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,5601000000.0,,2009-09-26,0001193125-10-012091,2009,FY,10-K/A,2010-01-25,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,5601000000.0,,2009-09-26,0001193125-10-088957,2010,Q2,10-Q,2010-04-21,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,5601000000.0,,2009-09-26,0001193125-10-162840,2010,Q3,10-Q,2010-07-21,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,5601000000.0,,2009-09-26,0001193125-10-238044,2010,FY,10-K,2010-10-27,CY2009Q3I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,6511000000.0,,2009-12-26,0001193125-10-012085,2010,Q1,10-Q,2010-01-25,CY2009Q4I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,5666000000.0,,2010-03-27,0001193125-10-088957,2010,Q2,10-Q,2010-04-21,CY2010Q1I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,8469000000.0,,2010-06-26,0001193125-10-162840,2010,Q3,10-Q,2010-07-21,CY2010Q2I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,12015000000.0,,2010-09-25,0001193125-10-238044,2010,FY,10-K,2010-10-27,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,12015000000.0,,2010-09-25,0001193125-11-010144,2011,Q1,10-Q,2011-01-19,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,12015000000.0,,2010-09-25,0001193125-11-104388,2011,Q2,10-Q,2011-04-21,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,12015000000.0,,2010-09-25,0001193125-11-192493,2011,Q3,10-Q,2011-07-20,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,12015000000.0,,2010-09-25,0001193125-11-282113,2011,FY,10-K,2011-10-26,CY2010Q3I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,14301000000.0,,2010-12-25,0001193125-11-010144,2011,Q1,10-Q,2011-01-19,CY2010Q4I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,13714000000.0,,2011-03-26,0001193125-11-104388,2011,Q2,10-Q,2011-04-21,CY2011Q1I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,15270000000.0,,2011-06-25,0001193125-11-192493,2011,Q3,10-Q,2011-07-20,CY2011Q2I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,14632000000.0,,2011-09-24,0001193125-11-282113,2011,FY,10-K,2011-10-26,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,14632000000.0,,2011-09-24,0001193125-12-023398,2012,Q1,10-Q,2012-01-25,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,14632000000.0,,2011-09-24,0001193125-12-182321,2012,Q2,10-Q,2012-04-25,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,14632000000.0,,2011-09-24,0001193125-12-314552,2012,Q3,10-Q,2012-07-25,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,14632000000.0,,2011-09-24,0001193125-12-444068,2012,FY,10-K,2012-10-31,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,14632000000.0,,2011-09-24,0001193125-13-170623,2012,FY,8-K,2013-04-24,CY2011Q3I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,18221000000.0,,2011-12-31,0001193125-12-023398,2012,Q1,10-Q,2012-01-25,CY2011Q4I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,17011000000.0,,2012-03-31,0001193125-12-182321,2012,Q2,10-Q,2012-04-25,CY2012Q1I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,16808000000.0,,2012-06-30,0001193125-12-314552,2012,Q3,10-Q,2012-07-25,CY2012Q2I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,21175000000.0,,2012-09-29,0001193125-12-444068,2012,FY,10-K,2012-10-31,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,21175000000.0,,2012-09-29,0001193125-13-022339,2013,Q1,10-Q,2013-01-24,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,21175000000.0,,2012-09-29,0001193125-13-168288,2013,Q2,10-Q,2013-04-24,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,21175000000.0,,2012-09-29,0001193125-13-170623,2012,FY,8-K,2013-04-24,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,21175000000.0,,2012-09-29,0001193125-13-300670,2013,Q3,10-Q,2013-07-24,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,21175000000.0,,2012-09-29,0001193125-13-416534,2013,FY,10-K,2013-10-30,CY2012Q3I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,26398000000.0,,2012-12-29,0001193125-13-022339,2013,Q1,10-Q,2013-01-24,CY2012Q4I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,14912000000.0,,2013-03-30,0001193125-13-168288,2013,Q2,10-Q,2013-04-24,CY2013Q1I
